structure,force,seed,status,steps,frames,r_mean_over_R,r_sd_over_R,Rg_mean_over_R,Gzz_mean,Gperp_mean,stretch_mean,clearance_min_over_R,clearance_p01_over_R
n3,0.01,105,done,4000001,2001,0.11813282525337006,0.02594169323240522,0.1759431541265076,19.073530559309674,10.53337588489974,1.8107709026744963,0.6210554464068586,0.6383752243061844
n3,0.0,101,done,4000001,2001,0.1946139080442186,0.05148846403957884,0.16508616909153992,11.93644625000396,11.694936779686353,1.0206507717713447,0.4572404706602179,0.4802994058371277
n3,0.0,102,done,4000001,2001,0.1320467995216741,0.053039488270564976,0.165127926582999,11.721461391092749,11.81051345874796,0.9924599325874989,0.5387123037091981,0.5619865680619807
n3,0.0,103,done,4000001,2001,0.06985490115837446,0.02888916060174361,0.16552267405856605,11.729926460669187,11.891633455843056,0.9864016162477315,0.6069051328978118,0.6328055372457232
n3,0.0,104,done,4000001,2001,0.17803191289627396,0.07083587072651625,0.16505880530875067,11.955092466269816,11.679242504708762,1.0236188230058447,0.4719814421718527,0.4882367119611609
n3,0.0,105,done,4000001,2001,0.20332447656332278,0.03285682429965605,0.16478337865109016,11.965390717426894,11.615816373810475,1.0300946857600628,0.4941709421978404,0.5072328923621084
n4,0.001,101,done,4000001,2001,0.2302850024327302,0.08826161679361764,0.21361879281075147,21.64267279209434,18.753328492248325,1.154071012036094,0.32482655211787886,0.34662489616179937
n4,0.001,102,done,4000001,2001,0.3050002166325008,0.039262591610879326,0.2144493200325347,22.43021499260555,18.589041637107925,1.206636438310503,0.3390835427235877,0.35422928932161085
n4,0.001,103,done,4000001,2001,0.24232960210791188,0.08039646123198657,0.21311063095109528,21.462224150013046,18.702447563787114,1.1475623218198236,0.35442925061941133,0.37218929590065003
n4,0.001,104,done,4000001,2001,0.22357975824861054,0.026810555454997005,0.2129130431412211,21.409871185156604,18.672351016623224,1.1466082212195068,0.428486101215014,0.45041314597619597
n4,0.001,105,done,4000001,2001,0.29278553144256936,0.0329074242747127,0.21390976285904967,22.433943160014476,18.437175389843116,1.2167776617438453,0.3419298891509395,0.3693288048541085
n4,0.003,101,done,4000001,2001,0.25192958236511886,0.025831483884779002,0.22129657137802605,28.220726803774234,17.63008764803224,1.6007139253742764,0.4183308125405302,0.43986550132838836
n4,0.003,102,done,4000001,2001,0.26405847464352017,0.016850023522920324,0.22171270009856806,28.845621764592277,17.438471300399147,1.6541370667010262,0.4214690060876327,0.4378521262748269
n4,0.003,103,done,4000001,2001,0.26415860370385474,0.023876677572036067,0.22206717879246893,29.03782253399625,17.44184778286017,1.6648363691449746,0.3937889213041344,0.4250462136044907
n4,0.003,104,done,4000001,2001,0.2441886544976603,0.019645239263958055,0.2206889483791485,28.16824510807487,17.480536453276585,1.6114062164719756,0.44936729274871595,0.46292086268337457
n4,0.003,105,done,4000001,2001,0.2491030351711118,0.018311228856364388,0.2215385780532425,28.27318949583983,17.67107331678056,1.5999701313553736,0.4350592412535747,0.4516988370376292
n4,0.005,101,done,4000001,2001,0.16886019498515709,0.01771160646348064,0.22279423488063793,29.496231975560548,17.4255498402082,1.6927002158348037,0.5132673152712168,0.5342618152658608
n4,0.005,102,done,4000001,2001,0.08404439134484261,0.040138588040531636,0.21516212650007252,22.680655348061943,18.67110164334167,1.214746498696831,0.5524664695172756,0.5707873211281572
n4,0.005,103,done,4000001,2001,0.08404958697518503,0.03931214366115996,0.21592277903056262,23.230327327888173,18.604451625773248,1.248643485718578,0.5592187542278546,0.5760743717381032
